name
USDT
USD
ETH
BTC
CEL
AXS
SNX
BNT
TRX
1INCH
KNC
SUSHI
ATOM
MATIC
RSR
OKB
DOT
LTC
AVAX
HT
SXP
FTM
BCH
YFI
SOL
UNI
BNB
DAI
AAVE
XRP
LINK
WBTC
MSOL
REN
MKR
DOGE
OMG
XAUT
GRT
LEO
PAXG
LUNC
USTC
TRYB
RAY
ASD
TOMO
ALPHA
PFE
BAND
BRZ
CAD
ARKK
EUR
STSOL
SPY
AAPL
BYND
BITW
GME
CUSDT
AUD
DKNG
WNDR
GBP
NIO
HOOD
MSTR
MRNA
TLRY
UBER
AMZN
BNTX
SQ
BILI
TWTR
TSLA
ZM
SLV
AMC
MOB
USO
ABNB
ACB
AMD
APHA
BABA
BB
CGC
COIN
CRON
ETHE
FB
GBTC
GDX
GDXJ
GLD
GLXY
GOOGL
NFLX
NOK
NVDA
PENN
PYPL
TSM
