,price,volume
2021-02-06 00:00:00+00:00,1.0001601537163873,8252424.407492599
2021-02-06 00:30:00+00:00,1.0003988405210797,6333801.630054793
2021-02-06 01:00:00+00:00,1.0001193391107464,12402426.850530555
2021-02-06 01:30:00+00:00,1.0001348450899965,21662153.212258358
2021-02-06 02:00:00+00:00,1.000038799081809,8674057.013815207
2021-02-06 02:30:00+00:00,1.0002084049959419,9649904.38390442
2021-02-06 03:00:00+00:00,1.000673699361245,17831296.143585388
2021-02-06 03:30:00+00:00,1.000628842661322,2731382.1114569255
2021-02-06 04:00:00+00:00,1.0004671116309338,4151633.3710191688
2021-02-06 04:30:00+00:00,1.0009556746886294,8001181.251181768
2021-02-06 05:00:00+00:00,1.0009057051217587,7001046.297761416
2021-02-06 05:30:00+00:00,1.0010273590183327,6184125.190376168
2021-02-06 06:00:00+00:00,1.0011248220233282,5047870.987756805
2021-02-06 06:30:00+00:00,1.0009255968795854,4479359.5002926765
2021-02-06 07:00:00+00:00,1.000834612793049,4630246.965351793
2021-02-06 07:30:00+00:00,1.0009860716032246,3706333.5330542796
2021-02-06 08:00:00+00:00,1.0015098026643123,9115342.363709692
2021-02-06 08:30:00+00:00,1.0018322437262908,13382574.819057485
2021-02-06 09:00:00+00:00,1.0019673906623603,12882917.745984191
2021-02-06 09:30:00+00:00,1.0020563663589097,9445558.97466407
2021-02-06 10:00:00+00:00,1.0021491857055456,7672512.320521236
2021-02-06 10:30:00+00:00,1.001873722030349,8177578.144173738
2021-02-06 11:00:00+00:00,1.0021473530341074,8971288.309398245
2021-02-06 11:30:00+00:00,1.0020899544741944,7073584.5988331465
2021-02-06 12:00:00+00:00,1.0019330094166954,5105321.744636564
2021-02-06 12:30:00+00:00,1.0025164954561205,8526213.16462433
2021-02-06 13:00:00+00:00,1.0019311575174108,4296277.039567289
2021-02-06 13:30:00+00:00,1.00185096035662,5953507.307873166
2021-02-06 14:00:00+00:00,1.0023125726428699,6984430.176677922
2021-02-06 14:30:00+00:00,1.0018059966268331,7486372.578531797
2021-02-06 15:00:00+00:00,1.001634339573505,6471206.084649971
2021-02-06 15:30:00+00:00,1.0016625965607213,8553477.293591138
2021-02-06 16:00:00+00:00,1.0015315719623434,7155003.440613126
2021-02-06 16:30:00+00:00,1.0013893904150772,5986066.690974152
2021-02-06 17:00:00+00:00,1.0014176193161606,3876983.7737718183
2021-02-06 17:30:00+00:00,1.0015104855332835,4717623.48467984
2021-02-06 18:00:00+00:00,1.0014483789358768,7878187.045943588
2021-02-06 18:30:00+00:00,1.001834973096929,6993858.079680579
2021-02-06 19:00:00+00:00,1.0017148517306296,4066321.577263966
2021-02-06 19:30:00+00:00,1.001564150980757,6031648.378165756
2021-02-06 20:00:00+00:00,1.0012822210385173,7671135.2271828335
2021-02-06 20:30:00+00:00,1.0014803985258085,6632506.09654235
2021-02-06 21:00:00+00:00,1.0016899007978022,3943975.0681082685
2021-02-06 21:30:00+00:00,1.0016960290646775,4459189.637926136
2021-02-06 22:00:00+00:00,1.0015904953185504,7804948.741620891
2021-02-06 22:30:00+00:00,1.0013905740345563,5363415.191528781
2021-02-06 23:00:00+00:00,1.0010945323418179,9693306.39966289
2021-02-06 23:30:00+00:00,1.0009649445105278,9192910.041632224
2021-02-07 00:00:00+00:00,1.000763474135482,16418358.692037871
2021-02-07 00:30:00+00:00,1.0008647710707665,5103175.671625598
2021-02-07 01:00:00+00:00,1.0013074241015654,7354787.174846583
2021-02-07 01:30:00+00:00,1.0008165504029316,10173039.952530337
2021-02-07 02:00:00+00:00,1.0007278889658704,9482664.298484243
2021-02-07 02:30:00+00:00,1.0008724748232263,5502208.639386402
2021-02-07 03:00:00+00:00,1.001009804033139,3759828.898272301
2021-02-07 03:30:00+00:00,1.0007366402715243,4151082.0777211008
2021-02-07 04:00:00+00:00,1.0010834786647556,3642971.6566715064
2021-02-07 04:30:00+00:00,1.0012654490722235,10131766.4288072
2021-02-07 05:00:00+00:00,1.0014015571908106,11165917.75840818
2021-02-07 05:30:00+00:00,1.0011666831430521,3994631.343281643
2021-02-07 06:00:00+00:00,1.001124515325391,3814090.953112797
2021-02-07 06:30:00+00:00,1.0012321049061077,4378706.462115009
2021-02-07 07:00:00+00:00,1.0013036392002497,4468613.684823091
2021-02-07 07:30:00+00:00,1.0012485395399473,4841872.8986833785
2021-02-07 08:00:00+00:00,1.00098747838754,6473901.65585216
2021-02-07 08:30:00+00:00,1.0008774896272918,5073436.438434763
2021-02-07 09:00:00+00:00,1.0008613549024725,4153868.2822695
2021-02-07 09:30:00+00:00,1.0011800072369035,4286438.4247135725
2021-02-07 10:00:00+00:00,1.001064805764316,4724694.295299664
2021-02-07 10:30:00+00:00,1.0010279375582307,4694244.689980216
2021-02-07 11:00:00+00:00,1.000968946486211,5559908.444433542
2021-02-07 11:30:00+00:00,1.0010682645484532,4400047.669068839
2021-02-07 12:00:00+00:00,1.0012436547387575,5572972.496899645
2021-02-07 12:30:00+00:00,1.0010226487807392,4604265.070988477
2021-02-07 13:00:00+00:00,1.0010229162116362,4746714.849994725
2021-02-07 13:30:00+00:00,1.000761910775833,8760409.57848822
2021-02-07 14:00:00+00:00,1.0006287828751756,12967898.318378283
2021-02-07 14:30:00+00:00,1.000677834080611,7585606.158559274
2021-02-07 15:00:00+00:00,1.000517686616939,17370106.159721855
2021-02-07 15:30:00+00:00,1.0003297813501724,12338125.406457847
2021-02-07 16:00:00+00:00,1.0001685808912817,23849962.783725366
2021-02-07 16:30:00+00:00,1.0006428915283452,18940520.109416857
